Element Name,Windows NT,Windows,Component,Component Version,Declaration Header,Include Header,Library,GUID,GUID Macro,Unicode,Element Type
ISyncMgrSynchronizeInvoke,Windows 2000 or later (or Windows NT 4.0 with Internet Explorer 5 or later).,Windows 95 or later (with Internet Explorer 5 or later),SyncMgr,,Mobsync.h,,,,,,interface
SYNCMGRHANDLERINFO,Windows 2000 or later (or Windows NT 4.0 with Internet Explorer 5 or later).,Windows 95 or later (with Internet Explorer 5 or later),SyncMgr,,Mobsync.h,,,,,,structure
SYNCMGRITEM,Windows 2000 or later (or Windows NT 4.0 with Internet Explorer 5 or later).,Windows 95 or later (with Internet Explorer 5 or later),SyncMgr,,Mobsync.h,,,,,,structure
SYNCMGRLOGERRORINFO,Windows 2000 or later (or Windows NT 4.0 with Internet Explorer 5 or later).,Windows 95 or later (with Internet Explorer 5 or later),SyncMgr,,Mobsync.h,,,,,,structure
SYNCMGRPROGRESSITEM,Windows 2000 or later (or Windows NT 4.0 with Internet Explorer 5 or later).,Windows 95 or later (with Internet Explorer 5 or later),SyncMgr,,Mobsync.h,,,,,,structure
SystemRestore,Whistler,Unsupported,System Restore,,,,,,,,class
SystemRestoreConfig,Whistler,Unsupported,System Restore,,,,,,,,class
SRRemoveRestorePoint,Whistler,Unsupported,System Restore,,SRRestorePtAPI.h,,SrClient.lib,,,,function
SRSetRestorePoint,Whistler,Windows Me,System Restore,,SRRestorePtAPI.h,,SrClient.lib,,,,function
RESTOREPOINTINFO,Whistler,Windows Me,System Restore,,SRRestorePtAPI.h,,,,,,structure
STATEMGRSTATUS,Whistler,Windows Me,System Restore,,SRRestorePtAPI.h,,,,,,structure
lineCallbackFunc,Windows NT 4.0 SP3 or later,Windows 95 or later,TAPI2,TAPI 1.3 or later,Tapi.h,,,,,,callback function
