Element Name,Windows NT,Windows,Component,Component Version,Declaration Header,Include Header,Library,GUID,GUID Macro,Unicode,Element Type
SpGetContextToken,Windows 2000 or later,,SSP,,Ntsecpkg.h,,,,,,function
SpGetCredentials,Windows 2000 or later,,SSP,,Ntsecpkg.h,,,,,,function
SpGetExtendedInformation,Windows 2000 or later,,SSP,,Ntsecpkg.h,,,,,,function
SpGetInfo,Windows 2000 or later,,SSP,,Ntsecpkg.h,,,,,,function
SpGetUserInfo,Windows 2000 or later,,SSP,,Ntsecpkg.h,,,,,,function
SpImportSecurityContext,Windows 2000 or later,,SSP,,Ntsecpkg.h,,,,,,function
SpInitialize,Windows 2000 or later,,SSP,,Ntsecpkg.h,,,,,,function
SpInitLsaModeContext,Windows 2000 or later,,SSP,,Ntsecpkg.h,,,,,,function
SpInitUserModeContext,Windows 2000 or later,,SSP,,Ntsecpkg.h,,,,,,function
SpInstanceInit,Windows 2000 or later,,SSP,,Ntsecpkg.h,,,,,,function
SpLsaModeInitialize,Windows 2000 or later,,SSP,,Ntsecpkg.h,,,,,,function
SpMakeSignature,Windows 2000 or later,,SSP,,Ntsecpkg.h,,,,,,function
SpMarshallSupplementalCreds,Windows 2000 or later,,SSP,,Ntsecpkg.h,,,,,,function
SpQueryContextAttributes,Windows 2000 or later,,SSP,,Ntsecpkg.h,,,,,,function
SpQueryCredentialsAttributes,Windows 2000 or later,,SSP,,Ntsecpkg.h,,,,,,function
SpSaveCredentials,Windows 2000 or later,,SSP,,Ntsecpkg.h,,,,,,function
SpSealMessage,Windows 2000 or later,,SSP,,Ntsecpkg.h,,,,,,function
SpSetExtendedInformation,Windows 2000 or later,,SSP,,Ntsecpkg.h,,,,,,function
SpShutDown,Windows 2000 or later,,SSP,,Ntsecpkg.h,,,,,,function
SpUnsealMessage,Windows 2000 or later,,SSP,,Ntsecpkg.h,,,,,,function
SpUserModeInitialize,Windows 2000 or later,,SSP,,Ntsecpkg.h,,,,,,function
SpVerifySignature,Windows 2000 or later,,SSP,,Ntsecpkg.h,,,,,,function
UnloadPackage,Windows 2000 or later,,SSP,,Ntsecpkg.h,,,,,,function
UpdateCredentials,Windows 2000 or later,,SSP,,Ntsecpkg.h,,,,,,function
VerifySignature (Digest),Whistler,Unsupported,SSP,,Sspi.h,Security.h,Secur32.lib,,,,function
LSA_SECPKG_FUNCTION_TABLE,Windows 2000 or later,,SSP,,Ntsecpkg.h,,,,,,structure
SCH_CRED,Windows NT 4.0 SP4 or later,Windows 95 or later,SSP,,Schannel.h,Schnlsp.h,,,,,structure
SCH_CRED_PUBLIC_CERTCHAIN,Windows NT 4.0 SP4 or later,Windows 95 or later,SSP,,Schannel.h,Schnlsp.h,,,,,structure
SCH_CRED_SECRET_PRIVKEY,Windows NT 4.0 SP4 or later,Windows 95 or later,SSP,,Schannel.h,Schnlsp.h,,,,,structure
SCHANNEL_CRED,Windows NT 4.0 SP4 or later,Windows 95 or later,SSP,,Schannel.h,Schnlsp.h,,,,,structure
SECPKG_CALL_INFO,Windows 2000 or later,,SSP,,Ntsecpkg.h,,,,,,structure
SECPKG_CLIENT_INFO,Windows 2000 or later,,SSP,,Ntsecpkg.h,,,,,,structure
SECPKG_CONTEXT_THUNKS,Windows 2000 or later,,SSP,,Ntsecpkg.h,,,,,,structure
SECPKG_DLL_FUNCTIONS,Windows 2000 or later,,SSP,,Ntsecpkg.h,,,,,,structure
SECPKG_EVENT_NOTIFY,Windows 2000 or later,,SSP,,Ntsecpkg.h,,,,,,structure
SECPKG_EVENT_PACKAGE_CHANGE,Windows 2000 or later,,SSP,,Ntsecpkg.h,,,,,,structure
SECPKG_EXTENDED_INFORMATION,Windows 2000 or later,,SSP,,Ntsecpkg.h,,,,,,structure
SECPKG_FUNCTION_TABLE,Windows 2000 or later,,SSP,,Ntsecpkg.h,,,,,,structure
SECPKG_GSS_INFO,Windows 2000 or later,,SSP,,Ntsecpkg.h,,,,,,structure
SECPKG_MUTUAL_AUTH_LEVEL,Windows 2000 or later,,SSP,,Ntsecpkg.h,,,,,,structure
SECPKG_PARAMETERS,Windows 2000 or later,,SSP,,Ntsecpkg.h,,,,,,structure
SECPKG_PRIMARY_CRED,Windows 2000 or later,,SSP,,Ntsecpkg.h,,,,,,structure
SECPKG_SUPPLEMENTAL_CRED,Windows 2000 or later,,SSP,,Ntsecpkg.h,,,,,,structure
SECPKG_SUPPLEMENTAL_CRED_ARRAY,Windows 2000 or later,,SSP,,Ntsecpkg.h,,,,,,structure
SECPKG_USER_FUNCTION_TABLE,Windows 2000 or later,,SSP,,Ntsecpkg.h,,,,,,structure
SecPkgContext_Authority,Windows NT 4.0 SP4 or later,Windows 95 or later,SSP,,Sspi.h,Security.h,,,,Declared as Unicode and ANSI structures.,structure
SecPkgContext_ConnectionInfo,Windows NT 4.0 SP4 or later,Windows 95 or later,SSP,,Schannel.h,Schnlsp.h,,,,,structure
SecPkgContext_IssuerListInfoEx,Windows NT 4.0 SP4 or later,Windows 95 or later,SSP,,Schannel.h,Schnlsp.h,,,,,structure
